Time,AccelX,AccelY,AccelZ,VelX,VelY,VelZ,PosX,PosY,PosZ,Roll,Pitch,Yaw
0.6877191066741943,-9.63,3.78,6.39,-26.853290119171145,10.540543785095215,17.81853830337524,-74.88049742724554,29.392344784526287,49.687059040508714,277.8131208877078,-73.72283029042602,153.97976568430778
0.6128544807434082,-9.71,4.31,6.48,-26.910231819152834,10.917782547473907,17.882597715854644,-74.9210268922056,29.66085248988668,49.73265468858878,367.7577087142521,239.58909978222857,308.757911973964
0.6008827686309814,-9.47,3.46,6.35,-26.742468299865724,10.323620083332061,17.791725809574125,-74.80375773219062,29.24552421483361,49.669133893580664,274.6713463024257,11.68364073965354,244.37872826076318
0.5692634582519531,-9.41,3.9,5.44,-26.702463088035586,10.616991636753081,17.184980096817014,-74.77708411596439,29.44113073382602,49.264584047482714,364.42500587764926,-36.59199061327752,191.2819531086927
0.5913903713226318,-9.57,4.27,6.6,-26.812744269371034,10.872016868591308,17.98451866149902,-74.85309623444402,29.616908757810187,49.815671906460096,272.9688985630188,-81.96949692613134,126.26088540399283
0.566169023513794,-9.55,3.82,6.42,-26.799449934959412,10.572894344329834,17.864869651794432,-74.84425926807162,29.418077014431173,49.736139209108494,359.97771966257744,49.85522235286493,212.26651231194424
0.6133697032928467,-9.6,3.73,6.11,-26.83492005109787,10.50904813528061,17.64495493173599,-74.86942185084914,29.37278436543165,49.58013119588791,267.8509257251972,1.6539327398780586,194.2104076292582
0.6115496158599854,-9.55,3.96,6.59,-26.799468436241153,10.672125563621522,17.985290434360504,-74.84428551093015,29.488411529058975,49.82144005911016,356.2913022210571,-44.71258221092616,233.10031144153783
0.5789573192596436,-9.65,3.85,6.39,-26.86714061737061,10.597686164379121,17.84994607210159,-74.89008075191833,29.43803676397198,49.7298495771338,265.1684533208585,-92.68591574511858,101.69554997095707
0.5607342720031738,-9.59,3.05,6.04,-26.827419505119327,10.068071334362031,17.618239583969114,-74.86378463927701,29.08742192875444,49.57645558672613,353.15239377142257,38.488296325082786,202.80765246508196
0.5694131851196289,-9.3,3.56,6.47,-26.633362998962404,10.409343121051789,17.905978541374203,-74.73392971658104,29.315787482461147,49.76899909279256,262.436476935834,-7.967032282466789,147.68962830373383
0.6901843547821045,-9.67,4.5,6.24,-26.92477730751038,11.149692986011505,17.72482910633087,-74.96344944422022,29.898891655382286,49.62632466750335,352.96734043846436,-55.26813435257192,314.68090116443443
0.5381758213043213,-9.6,3.82,6.14,-26.880373721122744,10.718343861103058,17.66139541149139,-74.9352826087333,29.625270967795103,49.58608633109347,260.9957413380492,256.6021087726182,230.42567198224253
